iter	Passed	Remaining
0	157	157157
1	159	79407
2	160	53409
3	162	40447
4	164	32648
5	166	27517
6	168	23871
7	170	21122
8	172	18963
9	174	17234
10	175	15798
11	177	14654
12	179	13664
13	181	12812
14	183	12063
15	185	11426
16	188	10881
17	192	10492
18	194	10055
19	196	9646
20	199	9291
21	201	8954
22	203	8647
23	206	8384
24	208	8134
25	210	7894
26	212	7667
27	215	7465
28	217	7269
29	219	7111
30	222	6952
31	224	6805
32	227	6655
33	228	6506
34	231	6374
35	233	6261
36	236	6158
37	239	6063
38	241	5950
39	243	5841
40	245	5741
41	248	5658
42	249	5560
43	251	5466
44	253	5378
45	255	5293
46	257	5211
47	258	5135
48	260	5062
49	262	4993
50	264	4923
51	266	4856
52	268	4796
53	270	4737
54	272	4680
55	274	4626
56	276	4573
57	278	4520
58	280	4468
59	281	4415
60	283	4363
61	285	4314
62	286	4263
63	288	4216
64	289	4170
65	291	4126
66	293	4087
67	294	4036
68	296	3996
69	297	3955
70	299	3917
71	301	3883
72	303	3851
73	305	3819
74	307	3791
75	309	3761
76	311	3731
77	313	3703
78	315	3674
79	316	3644
80	319	3621
81	320	3593
82	323	3570
83	325	3553
84	327	3522
85	328	3496
86	330	3464
87	332	3441
88	333	3417
89	335	3392
90	337	3368
91	338	3343
92	340	3321
93	342	3300
94	343	3276
95	345	3256
96	347	3232
97	348	3211
98	350	3190
99	352	3170
100	354	3154
101	355	3129
102	357	3110
103	359	3093
104	360	3076
105	362	3059
106	365	3048
107	367	3034
108	369	3022
109	371	3005
110	373	2992
111	375	2978
112	377	2964
113	379	2950
114	381	2935
115	383	2919
116	384	2905
117	386	2890
118	388	2874
119	390	2860
120	391	2845
121	393	2831
122	394	2812
123	396	2798
124	398	2786
125	399	2773
126	401	2760
127	402	2745
128	404	2732
129	406	2721
130	408	2711
131	410	2699
132	412	2689
133	414	2677
134	416	2666
135	417	2654
136	419	2642
137	420	2629
138	422	2619
139	424	2607
140	426	2597
141	428	2588
142	429	2576
143	431	2566
144	433	2556
145	435	2548
146	438	2543
147	440	2534
148	442	2527
149	444	2519
150	446	2511
151	448	2504
152	451	2499
153	453	2491
154	455	2482
155	457	2473
156	459	2465
157	461	2457
158	463	2450
159	465	2443
160	467	2434
161	468	2425
162	470	2417
163	472	2410
164	474	2402
165	476	2395
166	478	2388
167	480	2381
168	482	2374
169	484	2366
170	486	2359
171	488	2353
172	491	2347
173	493	2341
174	495	2335
175	497	2330
176	499	2322
177	501	2316
178	503	2309
179	505	2303
180	506	2293
181	508	2286
182	510	2279
183	512	2272
184	514	2265
185	516	2258
186	517	2251
187	519	2244
188	521	2236
189	522	2229
190	524	2221
191	526	2214
192	528	2208
193	530	2205
194	532	2199
195	535	2194
196	536	2187
197	538	2182
198	542	2181
199	543	2175
200	545	2168
201	547	2162
202	549	2157
203	551	2151
204	553	2144
205	554	2137
206	556	2131
207	558	2125
208	559	2118
209	562	2114
210	564	2110
211	565	2103
212	567	2096
213	569	2090
214	570	2083
215	572	2076
216	573	2069
217	575	2065
218	577	2060
219	579	2054
220	581	2048
221	582	2041
222	584	2035
223	585	2029
224	587	2023
225	589	2019
226	592	2016
227	594	2011
228	595	2005
229	597	1998
230	598	1992
231	600	1987
232	602	1982
233	604	1979
234	606	1974
235	608	1969
236	609	1963
237	611	1957
238	613	1952
239	614	1946
240	616	1940
241	618	1936
242	620	1932
243	621	1926
244	623	1920
245	624	1915
246	626	1910
247	628	1905
248	629	1899
249	631	1895
250	633	1890
251	635	1885
252	636	1880
253	638	1875
254	640	1871
255	642	1866
256	644	1862
257	645	1857
258	647	1852
259	649	1847
260	650	1841
261	652	1836
262	653	1831
263	655	1826
264	657	1822
265	659	1818
266	660	1813
267	662	1808
268	663	1803
269	665	1798
270	666	1793
271	668	1788
272	669	1783
273	671	1779
274	673	1775
275	674	1770
276	676	1765
277	677	1760
278	679	1755
279	680	1750
280	682	1746
281	684	1741
282	685	1737
283	687	1733
284	688	1728
285	690	1723
286	692	1719
287	693	1715
288	695	1710
289	696	1706
290	698	1702
291	700	1698
292	702	1694
293	703	1689
294	705	1684
295	706	1680
296	707	1675
297	709	1671
298	711	1667
299	712	1663
300	714	1658
301	715	1653
302	716	1649
303	718	1644
304	719	1639
305	721	1636
306	723	1632
307	724	1628
308	726	1624
309	728	1620
310	729	1617
311	731	1613
312	733	1609
313	734	1604
314	736	1601
315	738	1597
316	740	1595
317	741	1591
318	743	1586
319	744	1582
320	746	1578
321	747	1574
322	749	1570
323	751	1567
324	753	1564
325	755	1561
326	757	1558
327	759	1555
328	760	1551
329	762	1548
330	764	1544
331	765	1540
332	767	1536
333	769	1533
334	770	1530
335	772	1526
336	774	1523
337	775	1519
338	777	1515
339	778	1511
340	780	1507
341	781	1503
342	783	1500
343	784	1496
344	786	1492
345	788	1489
346	789	1485
347	791	1482
348	792	1478
349	794	1474
350	795	1471
351	797	1467
352	798	1464
353	800	1460
354	802	1457
355	803	1453
356	805	1450
357	806	1446
358	808	1442
359	809	1439
360	811	1435
361	812	1432
362	814	1429
363	816	1426
364	817	1422
365	819	1420
366	821	1416
367	822	1413
368	824	1410
369	826	1406
370	827	1403
371	829	1400
372	830	1396
373	832	1393
374	833	1389
375	835	1386
376	837	1383
377	838	1380
378	840	1377
379	841	1373
380	843	1370
381	845	1367
382	846	1364
383	848	1360
384	849	1357
385	851	1354
386	853	1351
387	854	1347
388	856	1344
389	857	1341
390	859	1338
391	860	1335
392	862	1331
393	863	1328
394	865	1325
395	867	1322
396	868	1319
397	870	1316
398	871	1312
399	873	1309
400	874	1306
401	876	1303
402	877	1300
403	879	1297
404	881	1294
405	883	1291
406	884	1288
407	886	1285
408	887	1282
409	889	1279
410	890	1276
411	892	1273
412	894	1271
413	895	1267
414	897	1264
415	898	1261
416	900	1258
417	901	1255
418	903	1252
419	905	1250
420	907	1247
421	908	1244
422	910	1242
423	912	1239
424	913	1236
425	915	1233
426	916	1230
427	918	1227
428	919	1224
429	921	1221
430	922	1218
431	924	1215
432	925	1212
433	927	1209
434	929	1206
435	930	1203
436	932	1201
437	934	1198
438	935	1195
439	937	1192
440	938	1190
441	940	1187
442	942	1184
443	944	1182
444	945	1179
445	947	1177
446	949	1174
447	951	1172
448	953	1169
449	955	1167
450	956	1164
451	958	1161
452	959	1158
453	961	1156
454	964	1155
455	966	1152
456	968	1150
457	970	1148
458	971	1145
459	973	1142
460	975	1140
461	977	1138
462	979	1136
463	981	1133
464	982	1130
465	984	1127
466	985	1125
467	987	1122
468	988	1119
469	990	1117
470	992	1114
471	994	1111
472	995	1109
473	997	1106
474	998	1104
475	1000	1101
476	1001	1098
477	1003	1096
478	1005	1093
479	1007	1091
480	1008	1088
481	1010	1085
482	1012	1083
483	1013	1080
484	1015	1078
485	1017	1075
486	1019	1073
487	1020	1071
488	1022	1068
489	1024	1066
490	1026	1063
491	1027	1061
492	1029	1058
493	1031	1056
494	1033	1053
495	1034	1051
496	1036	1049
497	1038	1046
498	1039	1044
499	1041	1041
500	1043	1039
501	1044	1036
502	1046	1034
503	1048	1031
504	1050	1029
505	1052	1027
506	1053	1024
507	1055	1022
508	1057	1020
509	1059	1017
510	1060	1015
511	1062	1012
512	1064	1010
513	1066	1008
514	1067	1005
515	1069	1002
516	1070	1000
517	1071	997
518	1073	995
519	1075	992
520	1077	990
521	1078	987
522	1080	985
523	1081	982
524	1083	980
525	1085	977
526	1086	975
527	1088	973
528	1090	971
529	1092	968
530	1093	966
531	1096	964
532	1098	962
533	1100	960
534	1102	958
535	1104	956
536	1107	954
537	1108	952
538	1110	949
539	1111	947
540	1113	944
541	1115	942
542	1117	940
543	1119	938
544	1120	935
545	1122	933
546	1123	930
547	1125	928
548	1126	925
549	1128	923
550	1130	921
551	1132	919
552	1134	916
553	1135	914
554	1137	911
555	1139	909
556	1140	907
557	1142	904
